cause_of_death,category_human
rheumatism unspecified,none
functional intestinal disorder unspecified,none
iron deficiency,none
cardiovascular disease unspecified,none
other congenital malformations of musculoskeletal system,none
aspergillosis unspecified,none
secondary malignant neoplasm of other and unspecified digestive organs,none
other specified anaemias,none
mitral valve prolapse,none
umbilical hernia with gangrene,none
malignant neoplasm border of tongue,oral cavity cancer
molybdenum deficiency,none
nodular lymphocyte predominant hodgkin lymphoma,none
motorcycle rider injured in noncollision transport accident driver injured in traffic accident,none
chronic meningitis,none
developmental disorder of scholastic skills unspecified,none
deficiency of other specified b group vitamins,none
polycystic kidney autosomal dominant,none
coarctation of aorta,none
other diseases of pharynx,none
neoplasm of uncertain or unknown behaviour renal pelvis,none
mucopolysaccharidosis unspecified,none
ulcer of oesophagus,none
other chronic respiratory diseases originating in the perinatal period,none
cutaneous abscess furuncle and carbuncle of face,none
cerebral infarction unspecified,cerebrovascular disease
car occupant injured in collision with fixed or stationary object unspecified car occupant injured in traffic accident,none
cerebral infarction due to cerebral venous thrombosis nonpyogenic,cerebrovascular disease
autoimmune polyglandular failure,none
kaposi sarcoma of other sites,none
other streptococcal arthritis and polyarthritis,none
disorder of autonomic nervous system unspecified,none
paranoid schizophrenia,none
noninflammatory disorder of uterus unspecified,none
female acute pelvic peritonitis,none
malignant neoplasm retromolar area,oral cavity cancer
peptic ulcer site unspecified unspecified as acute or chronic without haemorrhage or perforation,none
neoplasm of uncertain or unknown behaviour carotid body,none
other hypoglycaemia,none
wernicke encephalopathy,none
congenital mitral insufficiency,none
zoster ocular disease,none
neuromyelitis optica [devic],none
edwards syndrome unspecified,none
interstitial cystitis chronic,none
unspecified nephritic syndrome diffuse crescentic glomerulonephritis,none
other specified respiratory disorders,none
isomerism of atrial appendages,none
hiv disease resulting in other viral infections,none
other specified disorders involving the immune mechanism not elsewhere classified,none
malignant neoplasm glans penis,none
peptic ulcer site unspecified chronic or unspecified with perforation,none
car occupant injured in collision with two- or three-wheeled motor vehicle driver injured in traffic accident,none
embolism and thrombosis of other arteries,none
other bacterial meningitis,none
other chronic osteomyelitis,none
parvovirus infection unspecified site,none
neoplasm of uncertain or unknown behaviour respiratory organ unspecified,none
progressive vascular leukoencephalopathy,cerebrovascular disease
other female urinary-genital tract fistulae,none
disorder of teeth and supporting structures unspecified,none
giardiasis [lambliasis],none
other osteomyelitis,none
disorders of lysine and hydroxylysine metabolism,none
localized enlarged lymph nodes,none
extramedullary plasmacytoma,none
polycystic kidney autosomal recessive,none
epidermal thickening unspecified,none
other specified diseases of anus and rectum,none
acute miliary tuberculosis unspecified,none
malignant neoplasm branchial cleft,none
other benign neoplasm corpus uteri,none
generalized idiopathic epilepsy and epileptic syndromes,none
malignant neoplasm endocervix,none
sepsis of newborn due to other and unspecified streptococci,none
sequelae of cerebral infarction,cerebrovascular disease
aortic arch syndrome [takayasu],none
mesothelioma of peritoneum,none
cardiomegaly,none
stage iii decubitus ulcer and pressure area from 2014 onwards,none
secondary malignant neoplasm of skin,none
phlebitis and thrombophlebitis of femoral vein,none
cervical root disorders not elsewhere classified,none
pulmonary histoplasmosis capsulati unspecified,none
abdominal aortic aneurysm without mention of rupture,none
demyelinating disease of central nervous system unspecified,none
neuromuscular scoliosis,none
congenital complete absence of upper limbs,none
non-follicular diffuse lymphoma unspecified,none
malignant neoplasm peripheral nerves of pelvis,none
other specified soft tissue disorders,none
motorcycle rider injured in collision with railway train or railway vehicle driver injured in traffic accident,none
rheumatoid lung disease,pulmonary disease
fetus and newborn affected by prolapsed cord,none
other retinal artery occlusions,none
malignant neoplasm connective and soft tissue of lower limb including hip,none
necrotizing fasciitis,none
acute panmyelosis with myelofibrosis,none
peptic ulcer site unspecified acute with perforation,none
malignant neoplasm descending colon,colorectal cancer
occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle driver injured in nontraffic accident,none
hypertensive heart and renal disease with renal failure,none
neoplasm of uncertain or unknown behaviour placenta,none
oesophageal obstruction,none
metabolic disorder unspecified,none
malignant neoplasm meninges unspecified,none
echinococcus multilocularis infection unspecified,none
malignant neoplasm posterior wall of oropharynx,none
mitral stenosis,none
benign neoplasm parotid gland,none
nonspecific intraventricular block,none
strongyloidiasis unspecified,none
mature t/nk-cell lymphoma unspecified,none
other disorders of vestibular function,none
neoplasm of uncertain or unknown behaviour brain supratentorial,none
car occupant injured in collision with car pick-up truck or van driver injured in traffic accident,none
occupant of pick-up truck or van injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none
legal execution,none
ankylosing hyperostosis [forestier],none
fetus and newborn affected by maternal renal and urinary tract diseases,none
car occupant injured in collision with heavy transport vehicle or bus unspecified car occupant injured in traffic accident,none
plasmodium falciparum malaria with cerebral complications,none
anomalous pulmonary venous connection unspecified,none
other specified diseases of gallbladder,none
disorders of zinc metabolism,none
unilateral or unspecified femoral hernia with obstruction without gangrene,none
infective pericarditis,none
person on outside of all-terrain or other off-road motor vehicle injured in traffic accident,none
lymphoblastic diffuse lymphoma,none
other preterm infants,none
other specified paralytic syndromes,none
mumps encephalitis,none
abscess of lung with pneumonia,pulmonary disease
driver of all-terrain or other off-road motor vehicle injured in nontraffic accident,none
mental and behavioural disorders due to use of cocaine dependence syndrome,none
supraventricular tachycardia,none
